基金代码,基金简称,基金类型,净值,净值日期_原始月日,申购状态,赎回状态,下一开放日,购买起点_原始,日累计限额_原始,原始字段10,原始字段11,手续费
026534,兴业恒生科技指数(QDII)A,指数型-海外股票,0.8849,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.03%
026535,兴业恒生科技指数(QDII)C,指数型-海外股票,0.8839,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
026703,长城港股价值优选股票(QDII)A,QDII-普通股票,1.0049,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.08%
026704,长城港股价值优选股票(QDII)C,QDII-普通股票,1.0030,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
027164,富国恒生科技指数(QDII)A,指数型-海外股票,0.9304,09-10,开放申购,开放赎回,,10.0,100000000000,99.0,1,0.30%
027165,富国恒生科技指数(QDII)C,指数型-海外股票,0.9301,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
027170,交银环球精选混合(QDII)C,QDII-混合偏股,2.9770,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
027186,平安启瑞港股甄选混合(QDII),QDII-混合偏股,1.0110,09-09,暂停申购,开放赎回,,10.0,0.01,99.0,4,0.80%
027205,广发优势企业混合(QDII)A,QDII-混合偏股,0.9522,09-04,暂停申购,暂停赎回,,10.0,100000000000,1.0,6,0.08%
027206,广发优势企业混合(QDII)C,QDII-混合偏股,0.9514,09-04,暂停申购,暂停赎回,,10.0,100000000000,0.0,6,0.00%
027379,中欧港股医药混合发起(QDII)A,QDII-混合偏股,1.0241,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.08%
027380,中欧港股医药混合发起(QDII)C,QDII-混合偏股,1.0230,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
027450,交银港股消费混合(QDII)A,QDII-混合偏股,1.0006,09-04,封闭期,封闭期,,1.0,0,0,,0.80%
027451,交银港股消费混合(QDII)C,QDII-混合偏股,1.0005,09-04,暂停申购,暂停赎回,,10.0,100000000000,0.0,6,0.00%
027755,华宝医药精选混合(QDII)A,QDII-混合偏股,1.0015,09-04,暂停申购,暂停赎回,,10.0,100000000000,1.0,6,0.08%
027756,华宝医药精选混合(QDII)C,QDII-混合偏股,1.0014,09-04,暂停申购,暂停赎回,,10.0,100000000000,0.0,6,0.00%
027765,嘉实恒生科技ETF发起联接(QDII)A,指数型-海外股票,0.9288,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.03%
027766,嘉实恒生科技ETF发起联接(QDII)C,指数型-海外股票,0.9284,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
027784,诺安全球黄金(QDII-FOF)C,QDII-商品,2.1130,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
027794,诺安全球收益不动产(QDII)C,QDII-REITs,1.2780,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
028041,宏利港股数字经济混合发起(QDII)A,QDII-混合偏股,1.0016,09-09,暂停申购,暂停赎回,,10.0,100000000000,1.0,6,0.08%
028042,宏利港股数字经济混合发起(QDII)C,QDII-混合偏股,1.0013,09-09,暂停申购,暂停赎回,,10.0,100000000000,0.0,6,0.00%
028325,南方全球精选配置股票(QDII-FOF)A(美元现汇),QDII-普通股票,0.1495,09-09,限大额,开放赎回,,100.0,0,0,,0.80%
028491,长盛环球行业混合(QDII)C,QDII-混合偏股,1.3777,09-09,限大额,开放赎回,,10.0,500000.0,0.0,1,0.00%
040018,华安香港精选股票(QDII),QDII-普通股票,3.2280,09-09,开放申购,开放赎回,,10.0,10000000000,1.0,1,0.16%
040021,华安大中华升级股票(QDII)A,QDII-普通股票,3.0750,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
040046,华安纳斯达克100ETF联接(QDII)A,指数型-海外股票,8.1663,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
040047,华安纳斯达克100ETF联接(QDII)A美元现钞,指数型-海外股票,1.2050,09-09,暂停申购,开放赎回,,0,0,0,,1.20%
040048,华安纳斯达克100ETF联接(QDII)A美元现汇,指数型-海外股票,1.2050,09-09,暂停申购,开放赎回,,0,0,0,,1.20%
050015,博时大中华亚太精选,QDII-普通股票,1.3480,09-09,限大额,开放赎回,,10.0,1000000.0,1.0,1,0.16%
050020,博时抗通胀增强回报,QDII-商品,0.6700,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.15%
050025,博时标普500ETF联接A,指数型-海外股票,5.5635,09-09,暂停申购,开放赎回,,10.0,100.0,1.0,4,0.12%
050030,博时亚洲票息收益债券A人民币,QDII-纯债,1.4572,09-09,限大额,开放赎回,,10.0,2000.0,1.0,1,0.08%
050202,博时亚洲票息收益债券A美元现汇,QDII-纯债,0.2150,09-09,限大额,开放赎回,,10.0,0,0,,0.80%
050203,博时亚洲票息收益债券A美元现钞,QDII-纯债,0.2150,09-09,限大额,开放赎回,,10.0,0,0,,0.80%
070012,嘉实海外中国股票混合,QDII-混合偏股,0.8440,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
070031,嘉实全球房地产(QDII),QDII-REITs,1.0890,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
080006,长盛环球行业混合(QDII)A,QDII-混合偏股,1.3781,09-09,限大额,开放赎回,,10.0,500000.0,1.0,1,0.15%
096001,大成标普500等权重指数(QDII)A人民币,指数型-海外股票,2.7904,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
100050,富国全球债券(QDII)人民币A,QDII-混合债,1.2559,09-09,限大额,开放赎回,,10.0,20000.0,1.0,1,0.08%
100055,富国全球科技互联网股票(QDII)A,QDII-普通股票,5.1996,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.15%
100061,富国中国中小盘混合(QDII)人民币A,QDII-混合偏股,3.2196,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
110011,易方达优质精选混合(QDII),QDII-混合偏股,4.0781,09-10,限大额,开放赎回,,10.0,50000.0,1.0,1,0.15%
110031,易方达恒生国企ETF联接A,指数型-海外股票,1.0191,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
110032,易方达恒生国企ETF联接现汇A,指数型-海外股票,0.1504,09-10,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
110033,易方达恒生国企ETF联接现钞A,指数型-海外股票,0.1504,09-10,开放申购,开放赎回,,0,0,0,,1.20%
118001,易方达亚洲精选股票,QDII-普通股票,1.7070,09-09,限大额,开放赎回,,10.0,5000000.0,1.0,1,0.16%
118002,易方达标普消费品指数A,指数型-海外股票,2.7930,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
158042,恒生科技ETF富国,指数型-海外股票,,,认购期,认购期,,0,0,0,,
159100,巴西ETF华夏,指数型-海外股票,1.1659,09-09,场内交易,场内交易,,0,0,0,,
159202,恒生互联网ETF万家,指数型-海外股票,0.7528,09-10,场内交易,场内交易,,0,0,0,,
159303,恒生医疗ETF大成,指数型-海外股票,1.5606,09-10,场内交易,场内交易,,0,0,0,,
159329,沙特ETF南方,指数型-海外股票,0.9168,09-09,场内交易,场内交易,,0,0,0,,
159501,纳指ETF嘉实,指数型-海外股票,1.8667,09-09,场内交易,场内交易,,0,0,0,,
159502,标普生物科技ETF嘉实,指数型-海外股票,1.5941,09-09,场内交易,场内交易,,0,0,0,,
159509,纳指科技ETF景顺,指数型-海外股票,2.2749,09-09,场内交易,场内交易,,0,0,0,,
159513,纳斯达克100ETF大成,指数型-海外股票,1.6595,09-09,场内交易,场内交易,,0,0,0,,
159518,标普油气ETF嘉实,指数型-海外股票,1.3150,09-09,场内交易,场内交易,,0,0,0,,
159519,港股国企ETF国泰,指数型-海外股票,1.8277,09-10,场内交易,场内交易,,0,0,0,,
159529,标普消费ETF景顺,指数型-海外股票,1.2369,09-09,场内交易,场内交易,,0,0,0,,
159557,恒生医疗ETF嘉实,指数型-海外股票,1.4290,09-10,场内交易,场内交易,,0,0,0,,
159561,德国ETF嘉实,指数型-海外股票,1.3389,09-09,场内交易,场内交易,,0,0,0,,
159577,美国50ETF汇添富,指数型-海外股票,1.5652,09-09,场内交易,场内交易,,0,0,0,,
159605,中概互联ETF广发,指数型-海外股票,0.7621,09-09,场内交易,场内交易,,0,0,0,,
159607,中概互联网ETF嘉实,指数型-海外股票,0.7613,09-09,场内交易,场内交易,,0,0,0,,
159612,标普500ETF国泰,指数型-海外股票,1.9205,09-09,场内交易,场内交易,,0,0,0,,
159615,恒生生物科技ETF南方,指数型-海外股票,1.1183,09-10,场内交易,场内交易,,0,0,0,,
159632,纳斯达克ETF华安,指数型-海外股票,2.2569,09-09,场内交易,场内交易,,0,0,0,,
159655,标普500ETF华夏,指数型-海外股票,1.8655,09-09,场内交易,场内交易,,0,0,0,,
159659,纳斯达克100ETF招商,指数型-海外股票,2.1468,09-09,场内交易,场内交易,,0,0,0,,
159660,纳指ETF汇添富,指数型-海外股票,2.1717,09-09,场内交易,场内交易,,0,0,0,,
159687,亚太精选ETF南方,指数型-海外股票,1.8964,09-09,场内交易,场内交易,,0,0,0,,
159688,恒生互联网ETF华安,指数型-海外股票,0.7131,09-10,场内交易,场内交易,,0,0,0,,
159696,纳指ETF易方达,指数型-海外股票,1.8500,09-09,场内交易,场内交易,,0,0,0,,
159699,恒生消费ETF广发,指数型-海外股票,0.8552,09-10,场内交易,场内交易,,0,0,0,,
159740,恒生科技ETF大成,指数型-海外股票,0.5432,09-10,场内交易,场内交易,,0,0,0,,
159741,恒生科技ETF嘉实,指数型-海外股票,0.5450,09-10,场内交易,场内交易,,0,0,0,,
159742,恒生科技ETF博时,指数型-海外股票,0.5575,09-10,场内交易,场内交易,,0,0,0,,
159747,香港科技ETF南方,指数型-海外股票,1.1117,09-10,场内交易,场内交易,,0,0,0,,
159750,港股科技50ETF招商,指数型-海外股票,0.8179,09-10,场内交易,场内交易,,0,0,0,,
159822,新经济ETF银华,指数型-海外股票,0.5814,09-09,场内交易,场内交易,,0,0,0,,
159850,恒生国企ETF华夏,指数型-海外股票,0.8083,09-10,场内交易,场内交易,,0,0,0,,
159866,日经ETF工银,指数型-海外股票,1.6720,09-10,场内交易,场内交易,,0,0,0,,
159892,恒生医药ETF华夏,指数型-海外股票,0.7805,09-10,场内交易,场内交易,,0,0,0,,
159920,恒生ETF华夏,指数型-海外股票,1.4826,09-10,场内交易,场内交易,,0,0,0,,
159941,纳指ETF广发,指数型-海外股票,1.4882,09-09,场内交易,场内交易,,0,0,0,,
160125,南方香港优选股票,QDII-普通股票,1.5780,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.13%
160140,南方道琼斯美国精选A,指数型-海外股票,1.4104,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
160141,南方道琼斯美国精选C,指数型-海外股票,1.3649,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
160213,国泰纳斯达克100指数,指数型-海外股票,4.4660,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
160216,国泰大宗商品(QDII-LOF)A,QDII-商品,0.6620,09-09,限大额,开放赎回,,10.0,300000.0,1.0,1,0.15%
160416,华安标普全球石油指数(LOF)A,指数型-海外股票,2.2615,09-09,暂停申购,开放赎回,,10.0,2.0,1.0,4,0.12%
160644,鹏华港美互联股票人民币,QDII-普通股票,1.8951,09-09,暂停申购,开放赎回,,10.0,10000.0,1.0,4,0.15%
160717,嘉实H股指数(QDII-LOF),指数型-海外股票,0.7127,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
160719,嘉实黄金,QDII-商品,1.9520,09-09,暂停申购,开放赎回,,10.0,5.0,1.0,4,0.08%
160723,嘉实原油(QDII-LOF),QDII-商品,2.2772,09-09,暂停申购,开放赎回,,10.0,5.0,1.0,4,0.12%
160924,大成恒生指数(QDII-LOF)A,指数型-海外股票,0.9909,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
161116,易方达黄金主题人民币A,QDII-商品,1.6272,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.10%
161124,易方达香港小型股指数A,指数型-海外股票,0.8860,09-10,限大额,开放赎回,,10.0,3000.0,1.0,1,0.12%
161125,易方达标普500指数人民币A,指数型-海外股票,3.1353,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.12%
161126,易方达标普医疗保健人民币A,指数型-海外股票,2.0980,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.12%
161127,易方达标普生物科技人民币A,指数型-海外股票,2.1049,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.12%
161128,易方达标普信息科技指数(QDII-LOF)A(人民币),指数型-海外股票,6.7904,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.12%
161129,易方达原油A类人民币,QDII-商品,1.9227,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.12%
161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),指数型-海外股票,4.4337,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.12%
161229,国投瑞银中国价值发现股票,QDII-普通股票,1.3918,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
161620,融通核心价值混合(QDII)A,QDII-混合灵活,1.0940,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
161815,银华抗通胀主题(QDII-FOF-LOF)A,QDII-商品,1.1430,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.16%
161831,银华恒生国企指数(QDII-LOF)A,指数型-海外股票,0.7123,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
162411,华宝标普油气上游股票人民币A,指数型-海外股票,1.0197,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.15%
162415,华宝标普美国消费人民币A,指数型-海外股票,2.7610,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.12%
162719,广发道琼斯石油指数人民币A,指数型-海外股票,3.1795,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.12%
163208,诺安油气能源,QDII-普通股票,1.4560,09-09,暂停申购,开放赎回,,10.0,500.0,1.0,4,0.15%
163813,中银全球策略(QDII-FOF)A,QDII-FOF,1.1262,09-09,限大额,开放赎回,,10.0,5000000.0,1.0,1,0.15%
164212,天弘全球新能源汽车股票(QDII-LOF)A,QDII-普通股票,1.9362,09-09,限大额,开放赎回,,10.0,500.0,1.0,1,0.12%
164701,汇添富黄金及贵金属(QDII-LOF-FOF)A,QDII-商品,1.7070,09-09,暂停申购,开放赎回,,10.0,100.0,1.0,4,0.08%
164705,汇添富恒生指数(QDII-LOF)A,指数型-海外股票,1.1201,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
164824,工银印度基金人民币,QDII-混合偏股,1.2891,09-09,限大额,开放赎回,,10.0,500000.0,1.0,1,0.12%
164906,交银中证海外中国互联网指数(LOF)A,指数型-海外股票,0.8996,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
165513,中信保诚全球商品(QDII)A,QDII-商品,1.0320,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.16%
202801,南方全球精选配置股票(QDII-FOF)A(人民币),QDII-普通股票,1.0134,09-09,限大额,开放赎回,,10.0,1000000.0,1.0,1,0.16%
206006,鹏华全球中短债(QDII)人民币A,QDII-混合债,0.5541,09-09,限大额,开放赎回,,10.0,1000000.0,1.0,1,0.08%
206011,鹏华美国房地产(QDII),QDII-REITs,0.9060,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.10%
241001,华宝海外中国成长混合,QDII-混合偏股,1.4980,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
262001,景顺长城大中华混合(QDII)A人民币,QDII-混合偏股,2.1430,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.16%
270023,广发全球精选股票(QDII)人民币A,QDII-普通股票,6.3976,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.16%
270042,广发纳斯达克100ETF联接人民币(QDII)A,指数型-海外股票,8.1373,09-09,限大额,开放赎回,,2.0,2.0,1.0,1,0.13%
320013,诺安全球黄金(QDII-FOF)A,QDII-商品,2.1030,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.08%
320017,诺安全球收益不动产(QDII)A,QDII-REITs,1.2790,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
377016,摩根亚太优势混合(QDII)A,QDII-混合偏股,1.3468,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.18%
378006,摩根全球新兴市场混合(QDII),QDII-混合偏股,1.7829,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.16%
378546,摩根全球天然资源混合(QDII)A,QDII-混合偏股,1.6552,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.16%
457001,国富亚洲机会股票(QDII)A,QDII-普通股票,2.9292,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.15%
460010,华泰柏瑞亚洲领导企业混合,QDII-混合偏股,0.9620,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.16%
470888,汇添富香港优势精选混合(QDII)A,QDII-混合偏股,1.2060,09-09,限大额,开放赎回,,10.0,20000000,1.0,1,0.12%
486001,工银全球股票(QDII)人民币,QDII-普通股票,1.2460,09-09,暂停申购,开放赎回,,10.0,100000000000,1.0,4,0.16%
486002,工银全球精选股票(QDII),QDII-普通股票,4.5850,09-09,限大额,开放赎回,,10.0,50000.0,1.0,1,0.16%
501018,南方原油A,QDII-商品,1.9978,09-09,暂停申购,开放赎回,,10.0,1.0,1.0,4,0.12%
501225,景顺长城全球半导体芯片股票A(QDII-LOF)(人民币),QDII-普通股票,2.9945,09-09,暂停申购,开放赎回,,10.0,100.0,1.0,4,0.15%
501226,长城全球新能源车股票发起式(QDII)A,QDII-普通股票,2.7095,09-09,限大额,开放赎回,,10.0,500000.0,1.0,1,0.15%
501300,海富通全球收益债券人民币,QDII-纯债,0.9328,09-09,限大额,开放赎回,,10.0,50000000,1.0,1,0.08%
501312,华宝海外科技股票(QDII-LOF)A,QDII-普通股票,2.3853,09-09,限大额,开放赎回,,10.0,20.0,1.0,1,0.12%
510900,恒生中国企业ETF易方达,指数型-海外股票,1.0320,09-10,场内交易,场内交易,,0,0,0,,
513000,日经225ETF易方达,指数型-海外股票,2.2418,09-10,场内交易,场内交易,,0,0,0,,
513010,恒生科技ETF易方达,指数型-海外股票,0.5675,09-10,场内交易,场内交易,,0,0,0,,
513030,德国ETF华安,指数型-海外股票,1.8284,09-09,场内交易,场内交易,,0,0,0,,
513050,中概互联网ETF易方达,指数型-海外股票,1.0396,09-09,场内交易,场内交易,,0,0,0,,
513060,恒生医疗ETF博时,指数型-海外股票,0.5637,09-10,场内交易,场内交易,,0,0,0,,
513080,法国ETF华安,指数型-海外股票,1.7135,09-09,场内交易,场内交易,,0,0,0,,
513100,纳指ETF国泰,指数型-海外股票,1.9873,09-09,场内交易,场内交易,,0,0,0,,
513110,纳指ETF华泰柏瑞,指数型-海外股票,2.2817,09-09,场内交易,场内交易,,0,0,0,,
513120,港股创新药ETF广发,指数型-海外股票,1.2672,09-10,场内交易,场内交易,,0,0,0,,
513130,恒生科技ETF华泰柏瑞,指数型-海外股票,0.5424,09-10,场内交易,场内交易,,0,0,0,,
513140,港股通金融ETF华泰柏瑞,指数型-海外股票,1.7599,09-10,场内交易,场内交易,,0,0,0,,
513170,恒生央企ETF鹏华,指数型-海外股票,1.6383,09-10,场内交易,场内交易,,0,0,0,,
513180,恒生科技ETF华夏,指数型-海外股票,0.5499,09-10,场内交易,场内交易,,0,0,0,,
513210,恒生ETF易方达,指数型-海外股票,1.4961,09-10,场内交易,场内交易,,0,0,0,,
513220,中概互联ETF招商,指数型-海外股票,0.9084,09-09,场内交易,场内交易,,0,0,0,,
513260,恒生科技ETF汇添富,指数型-海外股票,1.0577,09-10,场内交易,场内交易,,0,0,0,,
513280,恒生生物科技ETF汇添富,指数型-海外股票,1.1029,09-10,场内交易,场内交易,,0,0,0,,
513290,纳指生物科技ETF汇添富,指数型-海外股票,1.7143,09-09,场内交易,场内交易,,0,0,0,,
513300,纳斯达克ETF华夏,指数型-海外股票,2.4567,09-09,场内交易,场内交易,,0,0,0,,
513310,中韩半导体ETF华泰柏瑞,指数型-海外股票,4.4694,09-10,场内交易,场内交易,,0,0,0,,
513330,恒生互联网ETF华夏,指数型-海外股票,0.3499,09-10,场内交易,场内交易,,0,0,0,,
513350,标普油气ETF富国,指数型-海外股票,1.3798,09-09,场内交易,场内交易,,0,0,0,,
513360,教育ETF博时,指数型-海外股票,0.4748,09-09,场内交易,场内交易,,0,0,0,,
513380,恒生科技ETF广发,指数型-海外股票,0.4979,09-10,场内交易,场内交易,,0,0,0,,
513390,纳指100ETF博时,指数型-海外股票,2.2309,09-09,场内交易,场内交易,,0,0,0,,
513400,道琼斯ETF鹏华,指数型-海外股票,1.2913,09-09,场内交易,场内交易,,0,0,0,,
513500,标普500ETF博时,指数型-海外股票,2.4484,09-09,场内交易,场内交易,,0,0,0,,
513520,日经ETF华夏,指数型-海外股票,2.2253,09-10,场内交易,场内交易,,0,0,0,,
513530,港股通红利ETF华泰柏瑞,指数型-海外股票,1.6191,09-10,场内交易,场内交易,,0,0,0,,
513580,恒生科技ETF华安,指数型-海外股票,0.5475,09-10,场内交易,场内交易,,0,0,0,,
513650,标普500ETF南方,指数型-海外股票,1.8645,09-09,场内交易,场内交易,,0,0,0,,
513730,东南亚科技ETF华泰柏瑞,指数型-海外股票,1.1365,09-09,场内交易,场内交易,,0,0,0,,
513800,日本东证指数ETF南方,指数型-海外股票,1.9141,09-10,场内交易,场内交易,,0,0,0,,
513810,港股国企ETF华夏,指数型-海外股票,1.7930,09-10,场内交易,场内交易,,0,0,0,,
513850,美国50ETF易方达,指数型-海外股票,1.7414,09-09,场内交易,场内交易,,0,0,0,,
513870,纳指ETF富国,指数型-海外股票,1.8925,09-09,场内交易,场内交易,,0,0,0,,
513880,日经225ETF华安,指数型-海外股票,2.0776,09-10,场内交易,场内交易,,0,0,0,,
513890,恒生科技ETF摩根,指数型-海外股票,0.8407,09-10,场内交易,场内交易,,0,0,0,,
513950,恒生红利ETF富国,指数型-海外股票,1.2727,09-10,场内交易,场内交易,,0,0,0,,
513970,恒生消费ETF景顺,指数型-海外股票,0.7879,09-10,场内交易,场内交易,,0,0,0,,
519601,海富通中国海外混合,QDII-混合偏股,1.8550,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
519696,交银环球精选混合(QDII)A,QDII-混合偏股,2.9820,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
519981,长信标普100等权重指数人民币,指数型-海外股票,2.5850,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.14%
520500,恒生创新药ETF华泰柏瑞,指数型-海外股票,1.3686,09-10,场内交易,场内交易,,0,0,0,,
520520,恒生消费ETF华泰柏瑞,指数型-海外股票,0.9158,09-10,场内交易,场内交易,,0,0,0,,
520570,恒生科技ETF南方,指数型-海外股票,0.6941,09-10,场内交易,场内交易,,0,0,0,,
520580,新兴亚洲ETF招商,指数型-海外股票,0.9457,09-09,场内交易,场内交易,,0,0,0,,
520590,恒生科技ETF鹏华,指数型-海外股票,0.7439,09-10,场内交易,场内交易,,0,0,0,,
520830,沙特ETF华泰柏瑞,指数型-海外股票,0.9052,09-09,场内交易,场内交易,,0,0,0,,
520870,巴西ETF易方达,指数型-海外股票,1.1606,09-09,场内交易,场内交易,,0,0,0,,
520920,天弘恒生科技ETF,指数型-海外股票,0.6431,09-10,场内交易,场内交易,,0,0,0,,
539001,建信纳斯达克100指数(QDII)A人民币,指数型-海外股票,3.4389,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
539002,建信新兴市场混合(QDII)A,QDII-混合偏股,2.4860,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.16%
539003,建信富时100指数(QDII)A人民币,指数型-海外股票,1.5080,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
