基金代码,基金简称,基金类型,净值,净值日期_原始月日,申购状态,赎回状态,下一开放日,购买起点_原始,日累计限额_原始,原始字段10,原始字段11,手续费
016664,天弘全球高端制造混合(QDII)A,QDII-混合偏股,2.8796,09-09,限大额,开放赎回,,10.0,500.0,1.0,1,0.15%
016665,天弘全球高端制造混合(QDII)C,QDII-混合偏股,2.8507,09-09,限大额,开放赎回,,10.0,500.0,0.0,1,0.00%
016667,景顺长城全球半导体芯片股票A(QDII-LOF)(美元现汇),QDII-普通股票,0.4418,09-09,暂停申购,开放赎回,,200.0,0,0,,1.60%
016668,景顺长城全球半导体芯片股票C(QDII-LOF)(人民币),QDII-普通股票,2.9519,09-09,暂停申购,开放赎回,,10.0,100.0,0.0,4,0.00%
016701,银华海外数字经济量化选股混合发起式(QDII)A,QDII-混合偏股,2.1442,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.15%
016702,银华海外数字经济量化选股混合发起式(QDII)C,QDII-混合偏股,2.1109,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
016742,华安大中华升级股票(QDII)C,QDII-普通股票,2.5040,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
016823,天弘全球新能源汽车股票(QDII-LOF)C,QDII-普通股票,1.9167,09-09,限大额,开放赎回,,10.0,500.0,0.0,1,0.00%
016970,华夏恒生生物科技ETF发起式联接(QDII)A,指数型-海外股票,1.1395,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
016971,华夏恒生生物科技ETF发起式联接(QDII)C,指数型-海外股票,1.1266,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
016988,景顺长城大中华混合(QDII)C人民币,QDII-混合偏股,2.1120,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
017028,国泰标普500ETF发起联接(QDII)A人民币,指数型-海外股票,1.7166,09-09,暂停申购,开放赎回,,10.0,10000.0,1.0,4,0.10%
017030,国泰标普500ETF发起联接(QDII)C人民币,指数型-海外股票,1.6972,09-09,暂停申购,开放赎回,,10.0,10000.0,0.0,4,0.00%
017071,申万菱信全球新能源股票型发起式(QDII)A,QDII-普通股票,1.2903,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
017072,申万菱信全球新能源股票型发起式(QDII)C,QDII-普通股票,1.2827,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
017091,景顺长城纳斯达克科技ETF联接(QDII)A人民币,指数型-海外股票,2.8921,09-09,暂停申购,开放赎回,,10.0,100.0,1.0,4,0.12%
017092,景顺长城纳斯达克科技ETF联接(QDII)A美元现汇,指数型-海外股票,0.4267,09-09,暂停申购,开放赎回,,1.0,0,0,,1.20%
017093,景顺长城纳斯达克科技ETF联接(QDII)C人民币,指数型-海外股票,2.8463,09-09,暂停申购,开放赎回,,10.0,100.0,0.0,4,0.00%
017144,华宝海外新能源汽车股票发起式(QDII)A,QDII-普通股票,1.5625,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.15%
017145,华宝海外新能源汽车股票发起式(QDII)C,QDII-普通股票,1.5430,09-09,限大额,开放赎回,,10.0,10000.0,0.0,1,0.00%
017204,华宝海外科技股票(QDII-LOF)C,QDII-普通股票,2.3638,09-09,限大额,开放赎回,,10.0,20.0,0.0,1,0.00%
017429,嘉实全球创新龙头股票(QDII)人民币A,QDII-普通股票,0.9601,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
017430,嘉实全球创新龙头股票(QDII)美元,QDII-普通股票,0.1417,09-09,暂停申购,暂停赎回,,0,0.01,1.0,,0.15%
017431,嘉实全球创新龙头股票(QDII)人民币C,QDII-普通股票,0.9431,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
017436,华宝纳斯达克精选股票发起式(QDII)A,QDII-普通股票,2.3822,09-09,限大额,开放赎回,,10.0,2000.0,1.0,1,0.15%
017437,华宝纳斯达克精选股票发起式(QDII)C,QDII-普通股票,2.3508,09-09,限大额,开放赎回,,10.0,2000.0,0.0,1,0.00%
017641,摩根标普500指数(QDII)人民币A,指数型-海外股票,1.6975,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
017642,摩根标普500指数(QDII)美钞,指数型-海外股票,0.2505,09-09,限大额,开放赎回,,1.0,0,0,,1.20%
017643,摩根标普500指数(QDII)美汇,指数型-海外股票,0.2505,09-09,限大额,开放赎回,,1.0,0,0,,1.20%
017653,创金合信全球芯片产业股票发起(QDII)A,QDII-普通股票,2.2112,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.15%
017654,创金合信全球芯片产业股票发起(QDII)C,QDII-普通股票,2.1759,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
017730,嘉实全球产业升级股票发起式(QDII)A,QDII-普通股票,4.0861,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.15%
017731,嘉实全球产业升级股票发起式(QDII)C,QDII-普通股票,3.9999,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
017873,汇添富香港优势精选混合(QDII)C,QDII-混合偏股,1.1870,09-09,限大额,开放赎回,,10.0,20000000,0.0,1,0.00%
017894,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币A,指数型-海外股票,1.5978,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.12%
017895,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币C,指数型-海外股票,1.5848,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
017951,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现汇,指数型-海外股票,1.6278,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
017952,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现钞,指数型-海外股票,1.6295,09-09,暂停申购,暂停赎回,,1.0,0.01,1.0,,0.12%
017970,摩根海外稳健配置混合(QDII-FOF)人民币A,QDII-FOF,1.0599,09-09,限大额,开放赎回,,10.0,100000.0,99.0,1,0.20%
017971,摩根海外稳健配置混合(QDII-FOF)美元现汇,QDII-FOF,0.1564,09-09,限大额,开放赎回,,1.0,0,0,,0.20%
017972,摩根海外稳健配置混合(QDII-FOF)美元现钞,QDII-FOF,0.1564,09-09,限大额,开放赎回,,1.0,0,0,,0.20%
